Orig_Inv_Ttl_Prod_Value,DateTransactionJulian,DateInvoiceJulian,Total_Credit,Orig_Inv_Total_Due,Reference1,NameAlpha,State,City,ZipCodePostal,Country,City99,Return_By_State,Return_By_Zip,Return_Country,Error_Desc
1861.49,2017-01-14,2017-01-11,1675.341,1861.49,RXRD651209,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
2603.65,2017-01-14,2017-01-11,2343.285,2603.65,RXRD651501,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
266.09,2017-01-14,2017-01-10,239.481,266.09,SACKR2930AM1219,AMERISOURCEBERGEN DRUG CORP,MN,EDEN PRAIRIE,55344,USA,EDEN PRAIRIE,MN,55344,RE0,
1055.3,2017-01-14,2017-01-10,949.77,1055.3,SBR03-123336-102153,MCKESSON CORPORATION,AL,MCCALLA,35111,USA,OPELIKA,AL,36801,AT3,
353.73,2017-01-14,2017-01-11,318.357,353.73,SDC100136850145,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,SPARTANBURG,SC,29301,PS0,
3.21,2017-01-14,2017-01-11,2.889,3.21,TJP121516AJE012,MCKESSON CORPORATION,VA,RUTHER GLEN,22546,USA,FREDERICK,MD,21702,FT2,
0.0,2017-01-14,2017-01-11,0.0,0.0,TOM093016I2-AMNL,KINRAY LLC,NY,WHITESTONE,11357,USA,BRISTOL,PA,19007,FI3,
0.0,2017-01-14,2017-01-13,0.0,0.0,TOM110216NN-2AMNL,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NORTHAMPTON,PA,18067,BN7,
8.04,2017-01-14,2017-01-10,7.236,8.04,TPRF51161553126,CARDINAL HEALTH,IL,AURORA,60502,USA,GREENPORT,NY,11944,BP7,
59.25,2017-01-14,2017-01-10,53.325,59.25,TPRF51161553166,CARDINAL HEALTH,IL,AURORA,60502,USA,RICE LAKE,WI,54868,AT2,
262.62,2017-01-14,2017-01-10,236.358,262.62,TPRF51161554012,CARDINAL HEALTH,IL,AURORA,60502,USA,LAPEER,MI,48446,BR9,
59.25,2017-01-14,2017-01-10,53.325,59.25,TPRF51161554670,CARDINAL HEALTH,IL,AURORA,60502,USA,UNIONTOWN,PA,15401,BG7,
254.44,2017-01-14,2017-01-11,228.996,254.44,UXA31235AMN16349,AMERISOURCEBERGEN DRUG CORP,NY,NORTH AMITYVILLE,11701,USA,BRONX,NY,10457,FB2,
101.2,2017-01-14,2017-01-11,91.08,101.2,UXK26220AMN16348,KINRAY LLC,NY,WHITESTONE,11357,USA,BROOKLYN,NY,11205,BM8,
461.47,2017-01-14,2017-01-11,415.323,461.47,VDC100137170078,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,VALDOSTA,GA,31601,RS0,
68.2,2017-01-14,2017-01-10,61.38,68.2,VDC100137170111,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,VALDOSTA,GA,31601,RS0,
5349.0,2017-01-14,2017-01-10,4814.1,5349.0,WAG46278,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
6167.8,2017-01-14,2017-01-10,5551.02,6167.8,WAG46370,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
6624.39,2017-01-14,2017-01-10,5961.951,6624.39,WAG46447,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
6493.66,2017-01-14,2017-01-10,5844.294,6493.66,WAG46534,AMERISOURCEBERGEN DRUG CORP.,PA,BETHLEHEM,18017,USA,WINDSOR,WI,53598,RW0,
155.33,2017-01-14,2017-01-10,139.79700000000005,155.33,WAL1216,AMERISOURCEBERGEN DRUG CORP,OH,LOCKBOURNE,43137,USA,PITTSBURGH,PA,15212,FM5,
1788.07,2017-01-14,2017-01-10,1609.263,1788.07,WGC100139990050,AMERISOURCEBERGEN DRUG CORP,NJ,THOROFARE,08086,USA,WINDSOR,WI,53598,RW0,
8.0,2017-01-14,2017-01-10,7.2,8.0,WHY1216,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,NEW PARIS,PA,15554,BW8,
156186.58,2017-01-14,2017-01-10,140567.922,156282.58,XO0117140711,MCKESSON DRUG COMPANY,TX,CARROLLTON,75006,USA,CARROLLTON,TX,75006,RM0,
5399.02,2017-01-21,2017-01-16,4859.118,5399.02,020102727,AMERISOURCEBERGEN DRUG CORP,AZ,PHOENIX,85009,USA,PHOENIX,AZ,85009,RA0,
108212.98,2017-01-21,2017-01-15,97391.682,108213.94,0537071552,AMERISOURCEBERGEN,NJ,THOROFARE,08086,USA,THOROFARE,NJ,08086,RA0,
0.0,2017-01-21,2017-01-16,0.0,0.0,121684560,MCKESSON CORPORATION,OH,WASHINGTON CT HOUSE,43160,USA,CENTERBURG,OH,43011,BF4,
1798.7,2017-01-21,2017-01-15,1618.83,1798.7,AIT0117066130,AMERISOURCEBERGEN,NJ,WEST DEPTFORD,08086,USA,WEST DEPTFORD,NJ,08086,RA0,
236.92,2017-01-21,2017-01-20,213.228,241.92,CG170112355,CARDINAL GEORGIA RETAILERS,NC,GREENSBORO,27407,USA,GREENSBORO,NC,27407,RW0,
95.75,2017-01-21,2017-01-20,86.175,95.75,CPA0117001468,AMERISOURCEBERGEN,NJ,WEST DEPFORD,08086,USA,WEST DEPFORD,NJ,08086,RA0,
0.0,2017-01-21,2017-01-14,0.0,0.0,DD111716,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,SPRINGVILLE,NY,14141,BS6,
0.0,2017-01-21,2017-01-17,0.0,0.0,EVC1612,VALUE DRUG COMPANY,PA,DUNCANSVILLE,16635,USA,EVANS CITY,PA,16033,BE1,
15001.99,2017-01-21,2017-01-19,13501.791,15001.99,EXPMH-0117099957,MCKESSON CORPORATION,IL,DANVILLE,61834,USA,DANVILLE,IL,61834,RM0,
0.0,2017-01-21,2017-01-14,0.0,0.0,EZ56573,DAKOTA DRUG,ND,MINOT,58703,USA,CULBERTSON,MT,59218,BC4,
